The most valued data science skills,,
,,
Item 1,Skill ,Website
82,Apache Spark,https://www.ubuntupit.com/best-29-data-scientist-skills-that-you-need-to-get-data-science-jobs/
83,Apache Kafka,https://www.ubuntupit.com/best-30-data-scientist-skills-that-you-need-to-get-data-science-jobs/
84,Statistics,https://www.ubuntupit.com/best-31-data-scientist-skills-that-you-need-to-get-data-science-jobs/
85,Multivariable Calculus & Linear Algebra,https://www.ubuntupit.com/best-32-data-scientist-skills-that-you-need-to-get-data-science-jobs/
86,"Machine Learning, Deep Learning, and AI",https://www.ubuntupit.com/best-33-data-scientist-skills-that-you-need-to-get-data-science-jobs/
87,Tensorflow,https://www.ubuntupit.com/best-34-data-scientist-skills-that-you-need-to-get-data-science-jobs/
88,Teamwork,https://www.ubuntupit.com/best-35-data-scientist-skills-that-you-need-to-get-data-science-jobs/
89,Documentation,https://www.ubuntupit.com/best-36-data-scientist-skills-that-you-need-to-get-data-science-jobs/
90,Data Wrangling,https://www.ubuntupit.com/best-37-data-scientist-skills-that-you-need-to-get-data-science-jobs/
91,Data Modeling,https://www.ubuntupit.com/best-38-data-scientist-skills-that-you-need-to-get-data-science-jobs/
92,Data Mining,https://www.ubuntupit.com/best-39-data-scientist-skills-that-you-need-to-get-data-science-jobs/
93,Programming,https://www.forbes.com/sites/quora/2017/06/15/what-are-the-top-five-skills-data-scientists-need/#6dce9f8d7c0c
94,Quantitative analysis,https://www.forbes.com/sites/quora/2017/06/15/what-are-the-top-five-skills-data-scientists-need/#6dce9f8d7c0c
95,Product intuition,https://www.forbes.com/sites/quora/2017/06/15/what-are-the-top-five-skills-data-scientists-need/#6dce9f8d7c1c
96,Communication,https://www.forbes.com/sites/quora/2017/06/15/what-are-the-top-five-skills-data-scientists-need/#6dce9f8d7c2c
97,Teamwork,https://www.forbes.com/sites/quora/2017/06/15/what-are-the-top-five-skills-data-scientists-need/#6dce9f8d7c3c
